CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
16754,99.6,99.6,99.6,96,6,0,0,28,28.4,2, 3,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,1,1,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16755,99.6,99.6,99.6,96,6,0,0,78,78.5,7,13,0,0,1,6,1, 1, 3,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,69.3,17.5,99.7,99.6, 1,6,1,3,6,2,4,96,96,18.8,96, 59,99.6,0,0,0,3,2,3,1,6, 3
16756,99.6,99.6,99.6,96,6,1,0,55,55.9,5, 9,0,0,1,6,1, 1, 5,2,0,1,0,1,1,6,6,2,6,1,1,24.8,45.2,99.6,33.0,30.6,45.0, 1,1,1,1,6,2,5,96,96,33.9,96, 22,99.6,0,0,1,1,2,3,1,6, 2
16757,99.6,99.6,99.6,96,6,1,1,73,73.3,6,12,0,0,1,6,2,12, 5,2,0,1,0,3,6,1,6,2,6,6,1,99.6,99.7,99.6,23.8,22.2,45.5, 1,2,1,1,6,2,6,96,96,21.5,96, 52,99.6,0,0,0,2,2,3,2,6, 2
16758,99.6,99.6,99.6,96,6,0,0,70,70.6,6,12,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,26.3,96, 44,99.6,0,0,0,2,2,3,2,6, 2
16759,99.6,99.6,99.6,96,6,0,1,32,32.8,2, 4,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16760,99.6,99.6,99.6,96,6,0,0,49,49.9,4, 7,2,2,6,2,4, 3, 1,2,1,2,1,2,1,6,6,1,1,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,35.9,96, 14,99.6,0,2,0,0,1,1,2,6, 2
16761,99.6,99.6,99.6,96,6,0,0,26,26.8,2, 3,0,0,1,6,2,12, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,1,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
16762,99.6,99.6,99.6,96,6,0,0,73,73.2,6,12,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,18.0,96,995,99.6,1,0,0,2,3,4,1,6, 3
16763,99.6,99.6,99.6,96,6,0,1,57,57.5,5, 9,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,30.8,96, 27,99.6,0,0,0,2,2,3,1,6, 2
