CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
    1,99.6,99.6,99.6,96,6,2,2,52,52.7,4, 8,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.9,96, 27,99.6,0,0,0,1,2,3,1,6, 1
    2,99.6,99.6,99.6,96,6,0,0,51,51.1,4, 8,0,0,1,1,2, 2, 1,2,1,1,2,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6, 8, 8,99.6,96, 33,22.7,0,0,2,3,2,3,2,6, 5
    3,99.6,99.6,99.6,96,6,0,0,63,63.6,5,10,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,14,23.2,96, 40,99.6,2,0,0,3,2,3,2,6, 5
    4,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,27.3,96, 56,99.6,0,0,0,1,2,3,2,6, 1
    5,99.6,99.6,99.6,96,6,1,2,28,28.0,2, 3,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,16,15,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
    6,99.6,99.6,99.6,96,6,0,0,63,63.0,5,10,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.8,96, 37,99.6,0,0,0,2,2,3,1,6, 2
    7,99.6,99.6,99.6,96,6,0,0,58,58.8,5, 9,0,0,1,6,1, 1, 6,2,0,2,0,1,2,6,6,7,6,2,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,97,18.3,96, 40,99.6,0,0,0,2,2,3,1,6, 2
    8,99.6,99.6,99.6,96,6,1,1,80,80.0,7,14,0,0,1,6,1, 1, 5,2,0,2,0,1,1,6,6,2,6,1,1,99.6,40.5,99.6,22.1,26.4,40.5, 1,2,1,1,6,2,4,96,96,22.9,96, 59,99.6,2,0,0,5,2,3,1,6, 7
    9,99.6,99.6,99.6,96,6,0,0,63,63.8,5,10,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   10,99.6,99.6,99.6,96,6,2,2,25,25.2,2, 3,0,0,1,5,6,11, 6,2,0,1,0,3,6,1,6,2,6,6,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,3,96,96,21.3, 4,  4,99.6,0,0,1,0,2,2,1,1, 1
   11,99.6,99.6,99.6,96,6,0,0,15,15.7,1, 1,2,0,1,2,5,10, 6,2,0,1,0,2,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   12,99.6,99.6,99.6,96,6,0,0,40,40.3,3, 6,0,0,1,6,1, 1, 6,2,0,2,0,3,6,1,6,2,6,6,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   13,99.6,99.6,99.6,96,6,1,0,56,56.8,5, 9,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,23.5,37.5,99.6,23.8,25.5,36.9, 1,1,1,1,1,6,6,96,96,99.6,96, 35,38.5,0,0,0,4,2,3,2,6, 4
   14,99.6,99.6,99.6,96,6,0,1,26,26.8,2, 3,2,2,3,2,4, 3, 2,2,2,2,1,1,1,6,6,1,3,2,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,16,18.8, 5,  8,99.6,0,2,0,0,1,1,1,6, 2
   15,99.6,99.6,99.6,96,6,2,2,66,66.8,6,11,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,34.9,99.6,22.2,21.0,99.6, 1,2,1,4,6,2,6,96,96,26.3,96, 41,99.6,0,0,0,1,2,3,1,6, 1
   16,99.6,99.6,99.6,96,6,1,1,30,30.6,2, 4,0,0,1,6,2,12, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,13,13,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   17,99.6,99.6,99.6,96,6,1,0,68,68.8,6,11,0,1,1,4,3, 4, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,35.7,99.6,20.9,20.4,35.7,98,2,1,1,2,6,6,96,96,24.3,96, 45,99.6,0,1,0,4,2,3,1,6, 7
   18,99.6,99.6,99.6,96,6,2,2,33,33.8,2, 4,0,0,1,6,2,12, 6,2,0,2,0,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,13,12,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   19,99.6,99.6,99.6,96,6,0,0,73,73.2,6,12,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,23,96,30.8,96, 42,99.6,0,0,0,1,2,3,2,6, 1
   20,99.6,99.6,99.6,96,6,0,1,39,39.1,3, 5,3,3,3,2,5, 3, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,31.0,96,  8,99.6,0,3,0,0,1,1,1,6, 3
   21,99.6,99.6,99.6,96,6,1,0,64,64.8,5,10,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,29.5,99.6,23.3,22.2,25.5, 1,2,2,1,1,6,6,96,96,31.0,96, 34,99.6,0,0,0,2,2,3,1,6, 2
   22,99.6,99.6,99.6,96,6,0,0,25,25.5,2, 3,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   23,99.6,99.6,99.6,96,6,2,2,49,49.4,4, 7,0,0,1,6,1, 1, 6,2,0,1,0,3,6,2,2,7,6,6,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,3,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   24,99.6,99.6,99.6,96,6,0,0,16,16.3,1, 1,0,0,1,2,4,10, 6,2,0,1,0,1,1,6,6,1,1,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   25,99.6,99.6,99.6,96,6,1,0,63,63.5,5,10,0,0,1,6,1, 1, 5,2,0,2,0,1,1,6,6,2,6,1,1,22.5,46.5,99.6,25.2,21.8,45.5, 1,1,2,1,6,2,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   26,99.6,99.6,99.6,96,6,0,0,78,78.4,7,13,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   27,99.6,99.6,99.6,96,6,0,0,30,30.8,2, 4,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   28,99.6,99.6,99.6,96,6,0,0,19,19.1,1, 1,0,0,1,2,3,10, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   29,99.6,99.6,99.6,96,6,2,0,40,40.8,3, 6,1,1,3,5,2, 7, 4,2,0,2,0,1,1,6,6,2,6,1,1,26.5,31.5,99.6,28.0,29.8,99.7, 1,1,2,1,1,6,6,96,96,99.6,96, 22,30.5,0,0,1,2,2,3,1,6, 3
   30,99.6,99.6,99.6,96,6,0,1,43,43.9,3, 6,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   31,99.6,99.6,99.6,96,6,0,1,40,40.7,3, 6,2,2,3,2,4, 3, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,29.0,96, 12,99.6,0,2,0,0,1,1,1,6, 2
   32,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 3,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,75.5,22.0,22.3,99.6, 1,6,1,3,6,2,4,96,96,22.9,96, 60,99.6,0,0,0,2,2,3,2,6, 2
   33,99.6,99.6,99.6,96,6,0,0,16,16.8,1, 1,0,0,1,5,3,11, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,16,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   34,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 3,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,40.0,21.5,24.5,99.6, 1,6,1,3,6,2,4,96,96,23.5,96, 59,99.6,0,0,0,3,2,3,1,6, 3
   35,99.6,99.6,99.6,96,6,1,0,71,71.4,6,12,0,0,1,6,1, 1, 4,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,23.2,96, 48,99.6,0,0,0,2,2,3,1,6, 2
   36,99.6,99.6,99.6,96,6,0,0,71,71.6,6,12,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,18.5,96, 53,99.6,0,0,0,2,2,3,1,6, 2
   37,99.6,99.6,99.6,96,6,0,0,29,29.6,2, 3,0,0,1,2,3,10, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   38,99.6,99.6,99.6,96,6,1,1,74,74.9,6,12,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,3,97,23,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   39,99.6,99.6,99.6,96,6,0,0,18,18.6,1, 1,1,0,1,4,4,10, 6,2,0,1,0,3,6,1,6,2,6,6,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   40,99.6,99.6,99.6,96,6,1,1,54,54.3,4, 8,0,1,4,4,3, 3, 2,2,2,1,2,1,1,6,6,2,6,1,1,21.5,41.5,99.6,23.5,22.8,39.5, 1,1,1,1,6,2,6,96,96,25.0,96, 29,99.6,0,0,1,2,2,3,2,6, 3
   41,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,16,26.2,96,995,99.6,1,0,0,1,3,4,1,6, 2
   42,99.6,99.6,99.6,96,6,0,1,36,37.0,3, 5,1,1,2,2,3, 3, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,35.4, 1,  1,99.6,0,1,0,0,1,1,2,6, 1
   43,99.6,99.6,99.6,96,6,0,0,27,27.3,2, 3,1,1,3,5,2, 7, 6,2,0,2,0,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,18.0,96, 11,99.6,0,0,1,0,1,2,1,1, 1
   44,99.6,99.6,99.6,96,6,2,0,68,68.9,6,11,2,3,5,2,5,12, 1,2,1,1,2,1,1,6,6,2,6,1,1,25.2,99.7,99.6,25.8,20.5,99.7, 1,1,2,1,2,6,6,96,96,32.8, 5, 37,99.6,0,3,0,1,2,3,1,6, 4
   45,99.6,99.6,99.6,96,6,1,1,53,53.6,4, 8,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,21.5,99.7,99.6,22.3,27.3,29.5, 1,1,2,1,6,2,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   46,99.6,99.6,99.6,96,6,0,0,63,63.4,5,10,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,24.8,96, 39,99.6,0,0,0,3,2,3,2,6, 3
   47,99.6,99.6,99.6,96,6,0,0,34,34.5,2, 4,1,1,2,5,3, 7, 6,2,0,1,0,1,2,6,6,7,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,1,97,13,32.8, 1,  1,99.6,0,1,0,0,1,1,1,6, 1
   48,99.6,99.6,99.6,96,6,0,1,36,36.2,3, 5,2,2,3,2,4, 3, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.1,96, 11,99.6,0,2,0,0,1,1,1,6, 2
   49,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 3,2,0,2,0,1,2,6,6,2,6,1,1,99.6,99.6,79.2,19.5,99.7,99.6, 1,6,2,3,6,2,4,96,96,19.3,96, 60,99.6,0,0,0,5,2,3,1,6, 6
   50,99.6,99.6,99.6,96,6,4,1,69,69.4,6,11,0,0,1,6,1, 1, 4,2,0,1,0,1,1,6,6,2,6,1,1,24.5,99.7,99.6,25.5,19.5,27.5, 1,1,2,1,2,6,6,18,16,99.6,96, 47,29.4,0,0,0,2,2,3,2,6, 2
   51,99.6,99.6,99.6,96,6,0,1,26,26.8,2, 3,1,1,3,2,4, 3, 2,1,2,2,1,3,6,1,6,2,6,6,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,19.3,96,  7,99.6,0,1,0,0,1,1,1,6, 1
   52,99.6,99.6,99.6,96,6,2,2,60,60.6,5,10,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.3,96, 35,99.6,0,0,0,2,2,3,1,6, 2
   53,99.6,99.6,99.6,96,6,2,0,51,51.9,4, 8,0,0,1,6,1, 1, 4,2,0,2,0,1,1,6,6,2,6,1,1,17.9,20.1,99.6,18.1,33.3,20.0, 1,1,2,1,1,6,6,96,96,35.5,96, 17,99.6,0,1,0,0,1,1,1,6, 1
   54,99.6,99.6,99.6,96,6,0,0,61,61.5,5,10,0,1,1,2,3, 4, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,29.6,96, 32,99.6,0,1,0,2,2,3,1,6, 3
   55,99.6,99.6,99.6,96,6,2,1,47,47.5,4, 7,2,2,3,5,3, 7, 4,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,35.9,96, 12,99.6,0,2,0,0,1,1,1,6, 2
   56,99.6,99.6,99.6,96,6,1,0,46,46.6,4, 7,2,2,6,5,3, 7, 4,2,0,1,0,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6, 4, 0,32.8,96, 14,99.6,0,1,1,0,1,1,2,6, 2
   57,99.6,99.6,99.6,96,6,0,1,53,53.6,4, 8,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   58,99.6,99.6,99.6,96,6,0,0,68,68.6,6,11,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,18.0,96, 52,99.6,0,0,0,3,2,3,1,6, 3
   59,99.6,99.6,99.6,96,6,0,1,45,45.1,4, 7,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   60,99.6,99.6,99.6,96,6,2,2,50,51.0,4, 8,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,3,96,96,19.0,96, 32,99.3,0,0,0,0,4,5,2,6, 2
   61,99.6,99.6,99.6,96,6,1,1,70,70.8,6,12,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,42.6,99.6,20.9,25.0,41.7, 1,2,1,1,6,2,6,96,96,20.3,96, 50,99.6,0,0,0,2,2,3,2,6, 2
   62,99.6,99.6,99.6,96,6,0,0,60,60.8,5,10,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   63,99.6,99.6,99.6,96,6,1,0,53,53.1,4, 8,0,0,1,6,1, 1, 4,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   64,99.6,99.6,99.6,96,6,0,0,34,34.0,2, 4,3,3,3,2,5, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,21.9,96, 12,99.6,0,3,0,0,1,1,1,6, 3
   65,99.6,99.6,99.6,96,6,0,0,72,72.4,6,12,0,0,1,1,2, 2, 1,2,1,2,1,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,12,18.8,96, 54,99.6,0,0,0,3,2,3,1,6, 3
   66,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 3,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,62.3,19.5,22.0,99.6, 1,6,1,3,6,2,4,96,96,20.5,96, 60,99.6,0,0,0,3,2,3,2,6, 3
   67,99.6,99.6,99.6,96,6,2,2,65,65.9,6,11,0,0,1,1,2, 2, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,41.8,99.6,20.8,21.7,40.5,98,2,1,1,6,2,6,96,96,24.9,96, 41,99.6,0,0,0,2,2,3,1,6, 3
   68,99.6,99.6,99.6,96,6,0,0,61,61.8,5,10,0,1,1,5,2, 7, 3,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,60.7,36.1,35.8,99.6, 1,6,1,3,6,2,3,96,96,37.5,96, 24,99.6,1,1,0,0,1,1,2,6, 2
   69,99.6,99.6,99.6,96,6,0,0,36,37.0,3, 5,1,2,4,2,4, 3, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,22,12,21.8,96, 15,99.6,0,2,0,0,1,1,2,6, 2
   70,99.6,99.6,99.6,96,6,0,0,58,58.4,5, 9,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   71,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,1,2, 2, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,31.3,96, 51,99.6,0,0,0,2,2,3,2,6, 2
   72,99.6,99.6,99.6,96,6,0,1,42,42.3,3, 6,1,1,3,2,3, 3, 2,2,2,2,1,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,97,10,21.2,96, 21,99.6,0,1,0,2,2,3,2,6, 3
   73,99.6,99.6,99.6,96,6,1,0,44,44.3,3, 6,0,0,1,6,1, 1, 5,2,0,1,0,1,2,6,6,2,6,1,1,99.6,40.7,99.6,23.2,22.2,32.8, 1,6,1,1,6,2,6,96,96,27.7,96, 16,99.6,0,0,0,2,2,3,2,6, 2
   74,99.6,99.6,99.6,96,6,1,1,26,26.7,2, 3,2,0,1,6,4,12, 6,2,0,2,0,1,2,6,6,1,1,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,3, 3, 3,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   75,99.6,99.6,99.6,96,6,0,0,24,24.1,1, 2,0,0,1,1,5,12, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   76,99.6,99.6,99.6,96,6,0,0,41,41.1,3, 6,2,2,3,2,4, 3, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,32.0,96,  9,99.6,0,2,0,0,1,1,1,6, 2
   77,99.6,99.6,99.6,96,6,0,0,26,26.1,2, 3,0,0,1,6,2,12, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   78,99.6,99.6,99.6,96,6,0,1,31,31.5,2, 4,1,1,2,2,3, 3, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,30.4, 1,  1,99.6,0,1,0,0,1,1,1,6, 1
   79,99.6,99.6,99.6,96,6,0,0,57,57.9,5, 9,0,1,1,2,3, 4, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,24.8,96, 33,99.6,0,1,0,1,2,3,1,6, 2
   80,99.6,99.6,99.6,96,6,0,0,15,15.4,1, 1,1,0,1,2,4,10, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   81,99.6,99.6,99.6,96,6,1,1,16,16.4,1, 1,2,0,1,5,4,11, 6,2,0,2,0,1,2,6,6,1,3,2,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96, 2,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   82,99.6,99.6,99.6,96,6,1,0,41,41.7,3, 6,0,0,1,6,1, 1, 4,2,0,1,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   83,99.6,99.6,99.6,96,6,0,1,24,24.9,1, 2,0,0,1,1,3,12, 2,2,2,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   84,99.6,99.6,99.6,96,6,0,0,53,54.0,4, 8,0,0,1,6,1, 1, 6,2,0,1,0,1,1,6,6,1,1,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,24,23,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   85,99.6,99.6,99.6,96,6,0,0,17,17.1,1, 1,0,0,1,2,5,10, 6,2,0,1,0,1,1,6,6,1,1,2,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   86,99.6,99.6,99.6,96,6,0,0,63,63.9,5,10,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   87,99.6,99.6,99.6,96,6,1,1,57,57.8,5, 9,0,2,1,2,4, 4, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,24.5,96, 33,99.6,0,2,0,1,2,3,2,6, 3
   88,99.6,99.6,99.6,96,6,1,1,74,74.8,6,12,0,0,1,6,1, 1, 3,2,0,2,0,1,1,6,6,2,6,1,1,99.6,46.0,99.6,20.1,22.2,45.4, 1,2,1,1,6,2,4,96,25,20.8,96, 54,99.6,0,0,0,4,2,3,2,6, 4
   89,99.6,99.6,99.6,96,6,0,0,41,41.1,3, 6,2,2,3,2,4, 3, 1,2,1,1,2,1,1,6,6,7,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,28.4,96, 13,99.6,0,2,0,0,1,1,1,6, 2
   90,99.6,99.6,99.6,96,6,1,0,59,59.9,5, 9,0,0,1,6,1, 1, 5,2,0,1,0,1,1,6,6,2,6,1,1,99.6,29.5,99.6,20.5,18.5,99.7, 1,6,2,1,6,2,2,96,96,99.6,96, 22,25.3,0,0,0,1,2,3,2,6, 1
   91,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   92,99.6,99.6,99.6,96,6,0,0,53,53.3,4, 8,0,1,1,2,3, 3, 1,2,1,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,32.9,96, 20,99.6,0,1,0,0,1,1,1,6, 1
